key,registrationMoment,typeOfIncident,description,severityLevel,key:activityLogAssignment
log-01,2022/09/09 00:30,Fallo de un motor,Uno de los motores del avión dejó de funcionar.,10,assignment-01
log-02,2022/09/10 19:45,Baja presión del avión,La presión del avión bajó demasiado.,7,assignment-02
log-03,2022/09/11 20:20,Zona de turbulencias,El avión entró en zona de turbulencias.,4,assignment-03
log-04,2022/09/12 06:35,Pequeña fisura,La ventana del avión recibió daño.,9,assignment-04
# registrationMoment
# base
log-05,2023/11/01 17:01,Lorem ipsum,Lorem ipsum,0,assignment-01
# empty
log-06,,Lorem ipsum,Lorem ipsum,0,assignment-01
# min
log-07,2022/09/01 10:02,Lorem ipsum,Lorem ipsum,0,assignment-01
# min + delta
log-08,2022/09/01 10:03,Lorem ipsum,Lorem ipsum,0,assignment-01
# max - delta
log-09,2024/12/31 23:59,Lorem ipsum,Lorem ipsum,0,assignment-01
# max
log-10,2025/01/01 00:00,Lorem ipsum,Lorem ipsum,0,assignment-01
# typeOfIncident
# base
log-11,2022/09/09 00:30,Lorem ipsum dolor sit amet.,Lorem ipsum,0,assignment-01
# min
log-12,2022/09/09 00:30,L,Lorem ipsum,0,assignment-01
# min + delta
log-13,2022/09/09 00:30,Lo,Lorem ipsum,0,assignment-01
# max - delta
log-14,2022/09/09 00:30,Lorem ipsum dolor sit amet consectetur elit,Lorem ipsum,0,assignment-01
# max
log-15,2022/09/09 00:30,Lorem ipsum dolor sit amet. Consectetur elit seds.,Lorem ipsum,0,assignment-01
# no-latin
log-16,2022/09/09 00:30,โลเร็ม อิปซัม,Lorem ipsum,0,assignment-01
log-17,2022/09/09 00:30,لوريم إيبسوم,Lorem ipsum,0,assignment-01
log-18,2022/09/09 00:30,洛伦·伊普森,Lorem ipsum,0,assignment-01
# injections
log-19,2022/09/09 00:30,<marquee>Hacked</marquee>,Lorem ipsum,0,assignment-01
log-20,2022/09/09 00:30,<script>alert(‘Hacked!’);</script>,Lorem ipsum,0,assignment-01
log-21,2022/09/09 00:30,'' or 'A' = 'A,Lorem ipsum,0,assignment-01
# description
# base
log-22,2022/09/09 00:30,Lorem ipsum,Lorem ipsum dolor sit amet. Consectetur elit sed do. Ut enim ad minim veniam. Quis nostrud exercitation ullamco laboris nisi.,0,assignment-01
# min
log-23,2022/09/09 00:30,Lorem ipsum,L,0,assignment-01
# min + delta
log-24,2022/09/09 00:30,Lorem ipsum,Lor,0,assignment-01
# max - delta
log-25,2022/09/09 00:30,Lorem ipsum,Lorem ipsum dolor sit amet. Consectetur elit sed do. Ut enim ad minim veniam. Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat.,0,assignment-01
# max
log-26,2022/09/09 00:30,Lorem ipsum,Lorem ipsum dolor sit amet. Consectetur elit sed do. Ut enim ad minim veniam. Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiates.,0,assignment-01
# no-latin
log-27,2022/09/09 00:30,Lorem ipsum,โลเร็ม อิปซัม,0,assignment-01
log-28,2022/09/09 00:30,Lorem ipsum,при,0,assignment-01
log-29,2022/09/09 00:30,Lorem ipsum,洛伦·伊普森,0,assignment-01
# injections
log-30,2022/09/09 00:30,Lorem ipsum,<marquee>Hacked</marquee>,0,assignment-01
log-31,2022/09/09 00:30,Lorem ipsum,<script>alert(‘Hacked!’);</script>,0,assignment-01
log-32,2022/09/09 00:30,Lorem ipsum,'' or 'A' = 'A,0,assignment-01
# severityLevel
# base
log-33,2022/09/09 00:30,Lorem ipsum,Lorem ipsum,5,assignment-01
# min
log-34,2022/09/09 00:30,Lorem ipsum,Lorem ipsum,0,assignment-01
# min + delta
log-35,2022/09/09 00:30,Lorem ipsum,Lorem ipsum,2,assignment-01
# max - delta
log-36,2022/09/09 00:30,Lorem ipsum,Lorem ipsum,8,assignment-01
# max
log-37,2022/09/09 00:30,Lorem ipsum,Lorem ipsum,10,assignment-01
